OBJECTID,REF_NUMBER,DATE_,TIME,SEVERITY,SEVERITY_DESCRIPTION,ACCIDENT_TYPE,ACCIDENT_DESCRIPTION,VEHICLES,CASUALTIES,PEDESTRIAN,CYCLES,MCYCLES,CHILDREN,OAPS,ACCIDENT_DETAILS,X,Y,RENDER
252,171702873,2017/04/29 23:00:00+00,1840,3,Slight,NONE,Other,4,1,0,0,0,0,0,"V1 (PARKED AND UNATTENDED). V2 AND V4 (CAS1) TRAV W ON TALBOT ROAD. V3 (CYCLE) TRAV E ON TALBOT ROAD. ALL VEHICAKES HAVE BEEN INVOLVED TO A COLLISION (POOR ACCIDENT DESCRIPTION, NO DETAILS)",361290,170709,CARS
253,171703041,2017/04/27 23:00:00+00,1558,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,1,0,0,0,"V1 (CAS1) (CYCLE) TRAV SE ON COTHAM HILL AT J/WITH ABERDEEN ROAD. V2 TRAV NE ON ABERDEEN ROAD AT J/WITH COTHAM HILL. V2 HAS ENTERED JCT AND COME TO A FULL STOP, R1 HAS HAD NO TIME TO REACT AND C/WITH V2. R1 BECAME UNSEATED.",357927,173972,CYC
254,171703198,2017/05/10 23:00:00+00,800,3,Slight,O,Overtaking,3,1,0,0,0,0,0,"V1 (CAS1) TRAV SE ON PEN PARK RD. V2 TRAV NW ON PEN PARK RD, V2 HAS BECOME STATIC AT PEDESTRIAN CROSSING. V3 TRAV NW ON PEN PARK RD, V3 HAS O/TAKEN V2 TO AVOID COLLISION BUT C/WITH ONCOMING V1. DETAILS EXCHANGED BUT D3 HAS BECOME AGGRESSIVE.",358810,178763,CARS
255,171703239,2017/05/15 23:00:00+00,1554,3,Slight,J1,Turning Movement from major road,2,1,0,1,0,0,0,V1 (CAS1) (CYCLE) TRAV SE ON PARK ST AT J/WITH U UNITY ST. V2 TRAV NW ON PARK ST AT J/WITH U UNITY ST. V2 HAS MADE A R/TURN INTO UNITY ST AND C/WITH PASSING V1. V2 FAILED TO STOP,358337,172856,CYC
256,171703253,2017/03/31 23:00:00+00,748,3,Slight,J1,Turning Movement from major road,2,1,0,0,0,0,0,V1 (CAS1) TARV NE ON YORK RD AT J/WITH ST LUKE'S RD. V2 TRAV NW ON CLARENCE RD AT J/WITH YORK RD. V2 HAS MOVED FORWARD TO MAKE A R/TURN ON GREEN ATL AND C/WITH V1 WHICH HAD JUMPED A RED LIGHT.,359444,171990,CARS
257,171703255,2017/04/11 23:00:00+00,1750,3,Slight,NONE,Other,2,1,0,1,0,0,0,"V1 (LGV) TRAV NW ON ASHLEY DOWN RD APPROACHING J/WITH SEYMOOR RD. V2 (CAS1) (CYCLE) TRAV SE ON ASHLEY DOWN RD. V1 HAS CROSSED THE WHITE LINE AND C/WITH ONCOMING V2, R2 HAS BECOME UNSEATED.",359596,176000,CYC
258,171703262,2017/03/30 23:00:00+00,2350,2,Serious,J2,Turning Movement from minor road,2,1,0,0,1,0,0,V1 (CAS1) (MCYCLE) TRAV SE ON PEN PARK RD AT J/WITH LANERCOST RD. V2 TRAV NE ON LANERCOST RD AT J/WITH PEN PARK RD. V2 HAS MADE A R/TURN ONTO PEN PARK RD AND C/WITH PASSING V1. R1 HAS BECOME UNSEATED. CF ADDED FOR VALIDATION,358527,179119,MCYC
259,171703312,2017/05/18 23:00:00+00,1440,3,Slight,NONE,Other,2,1,0,1,0,0,0,V1 (CAS1) (CYCLE) TRAV N ON BROAD QUAY. V2 (PSV) PARKED AT KERB IN BUS BAY. DETAILS UNCLEAR BUT V1 HAS COME INTO CONTACT WITH V2. UNKNOWN IF V2 WAS MOVING OR STATIONARY AT THE TIME,358603,172813,CYC
260,171703368,2017/04/13 23:00:00+00,1948,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,0,0,0,0,V1 TRAV NW ON CARISBROOKE RD AT J/WITH WALLINGFORD RD. V2 (CAS1) TRAV NE ON WALLINGFORD RD AT J/WITH CARISBROOKE RD. V1 HAS CROSSED THE JCT LINE AND C/WITH PASSING V2. V2 HAS GONE INTO A SPIN.,358966,169404,CARS
261,171703380,2017/04/14 23:00:00+00,2120,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,V1 (TAXI) TRAV NW ON PARK ST AT J/WITH UNITY ST. CAS1 HAS BEEN LED DOWN IN THE C/WAY. D1 HAS FAILED TO NOTICE CAS1 WHICH HAS RESULTED IN A COLLISION.,358340,172860,A
262,171701720,2017/02/21 00:00:00+00,918,3,Slight,J2,Turning Movement from minor road,2,1,0,1,0,0,0,V1 TRAV NE ON PROVIDENCE PL AT J/WITH OLD BREAD ST. V2 (CAS1) (CYCLE) TRAV SE ON OLD BREAD ST. V1 HAS PULLED ACROSS JCT AND C/WITH PASSING V2. R2 HAS BECOME UNSEATED.,359676,172851,CYC
263,171701728,2017/03/05 00:00:00+00,1100,3,Slight,NT,Nose to Tail,2,1,0,0,0,0,0,"V1 (CAS1) TARV NW ON FISHPONDS RD, V1 HAS COME TO A FULL STOP AT RED ATL. V2 TRAV NW BEHIND HAS FAILED TO STOP AND C/WITH THE REAR OF STATIC V1.",361110,174649,CARS
264,171701729,2017/02/21 00:00:00+00,925,3,Slight,J1,Turning Movement from major road,2,1,0,0,0,0,0,V1 TRAV SE ON LUCKWELL RD AT J/WITH WINTERSTOKE RD. V2 (CAS1)  TRAV NW ON LUCKWELL RD AT J/WITH WINTERSTOKE RD. V1 HAS MADE A R/TURN AND C/WITH PASSING V2. (POOR ACCIDENT DESCRIPTION),357593,170681,CARS
265,171701732,2017/02/27 00:00:00+00,1745,3,Slight,J1,Turning Movement from major road,2,1,0,1,0,0,0,V1 TRAV SE ON PARRY'S LN AT J/WITH REEDLEY RD. V2 (CYCLE) (CAS1) TRAV NW ON PARRY'S LN AT J/WITH REEDLEY RD. V1 HAS MADE A R/TURN AND C/WITH PASSING V2.. R2 HAS BECOME UNSEATED AND BEEN TAKEN TO HOSPITAL IN AN AMBULANCE.,356515,176240,CYC
266,171701735,2017/02/10 00:00:00+00,900,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,V1 TRAV SE ON BRIDGE WALK AT J/WITH FILTON AV. CAS1 HAS STEPPED OUT INTO THE C/WAY AND BEEN STRUCK AT LOW SPEED BY PASSING V1.,360280,177536,A
267,171701746,2017/02/20 00:00:00+00,740,3,Slight,LC,Loss of Control,2,1,0,0,1,0,0,"V1 (PARKED AT KERB) ON LONG CROSS, D1 HAS BEEN PREPARING TO PERFORM A U/TURN. V2 (CAS1) (MCYCLE) TRAV W ON LONG CROSS, V2 HAS SUDDENLY GONE OUT OF CONTROL AND C/WITH THE REAR OF STATIC V1,",355278,178688,MCYC
268,171701753,2017/03/07 00:00:00+00,1640,2,Serious,J2,Turning Movement from minor road,2,3,0,0,0,1,1,V1 (CAS1 CAS3) TRAV SE ON CHARIS AV AT J/WITH SOUTHMEAD RD. V2 (CAS2) TRAV NE ON SOUTHMEAD RD. V1 HAS MADE A R/TURN ONTO SOUTHMEAD RD AND C/WITH PASSING V2.,358262,177404,CARS
269,171701757,2017/02/22 00:00:00+00,1000,3,Slight,J1,Turning Movement from major road,2,1,0,0,0,0,0,V1 (CAS1) TRAV SW ON  WELLS RD AT J/WITH AIRPORT RD IN INSIDE LN. V2 (LGV) SW ON  WELLS RD AT J/WITH AIRPORT RD IN OUTSIDE LN. V2 HAS CHANGED LANES TO THE LEFT AND C/WITH PASSING V1. V1 HAS BEEN SHUNTED ONTO A GRASS VERGE.,360897,169993,CARS
270,171701761,2017/02/11 00:00:00+00,2258,3,Slight,J1,Turning Movement from major road,1,1,1,0,0,0,0,V1 (TAXI) TRAV SW ON ANCHOR RD AT J/WITH CANNON RD. CAS1 HAS BEEN CROSSING JCT. V1 HAS MADE A L/TURN AND C/WITH CROSSING CAS1. CAS1 HAS BEEN KNOCKED TO THE GROUND.,358494,172661,CARS
271,171701765,2017/02/26 00:00:00+00,1316,3,Slight,LC,Loss of Control,1,1,0,0,0,0,0,"V1 (CAS1) TRAV NE ON BRUNEL WAY AT J,WITH BRUNEL LOCK RD, V1 HAS MADE A L/TURN ONTO BRUNEL LOCK RD. V1 HAS GONE OUT OF CONTROL AND C/WITH THE METAL RAILINGS.",356765,172256,CARS
272,171701767,2017/02/22 00:00:00+00,945,3,Slight,NT,Nose to Tail,2,1,0,0,0,0,0,"V1 (CAS1) TRAV NW ON BATH RD IN HEAVY TRAFFIC, V1 HAS COME TO A GRADUAL STOP WITH FLOW OF TRAFFIC. V2 TRAV BEHIND HAS FAILED TO STOP AND C/WITH THE REAR OF V1.",359789,172074,CARS
273,171701777,2017/02/22 00:00:00+00,1929,3,Slight,J1,Turning Movement from major road,2,1,0,1,0,0,0,V1 TRAV N ON SUSSEX PL AT R/ABOUT WITH SEVIER ST. V2 (CAS1) (CYCLE) TRAV W ON R/ABOUT.V1 HAS ENTERED R/ABOUT AND C/WITH PASSING V2. D1 HAS STATED V2 WASN'T DISPLAY LIGHTS AND WAS IN DARK CLOTHING.,359848,174544,CYC
274,171701790,2017/02/16 00:00:00+00,1745,3,Slight,J1,Turning Movement from major road,2,1,0,1,0,0,0,V1 TRAV SW ON ON WINE ST AT J/WITH UNION ST. V2 (CAS1) (CYCLE) TRAV NE ON WINE ST. V1 HAS MADE A R/TURN INTO UNION ST AND C/WITH PASSING V2. R2 HAS BECOME UNSEATED.,359058,173134,CYC
275,171701791,2017/02/19 00:00:00+00,1140,3,Slight,LC,Loss of Control,1,1,0,0,1,0,1,"V1 (CAS1) (MCYCLE) TRAV NW ON WHITCHURCH LN, V1 HAS EXITED R/ABOUT AND C/WITH KERB.R1 HAS BECOME UNSEATED AND LANDED ON THE PAVEMENT",358951,168324,MCYC
276,171701491,2017/02/28 00:00:00+00,835,3,Slight,J1,Turning Movement from major road,2,1,0,1,0,0,0,"V1 (CAS1) (CYCLE) TRAV NW ON NEWBRIDGE RD AT J/WITH WHITBY  RD. V2 TRAV SE ON FEEDER RD, V2 HAS MADE A R/TURN INTO WHITBY RD AND C/WITH PASSING V1.",361710,172605,CYC
277,171701519,2017/03/03 00:00:00+00,830,3,Slight,NT,Nose to Tail,2,1,0,1,0,0,0,V1 (CAS1) (CYCLE) TRAV W ON HEPBURN RD. V2 TRAV W BEHIND V1. V2 HAS ATTEMPTED TO O/TAKE V1 AND C/WITH THE REAR. R1 HAS BECOME UNSEATED. V2 FAILED TO STOP.,359184,173974,CYC
278,171701793,2017/02/16 00:00:00+00,1347,3,Slight,J1,Turning Movement from major road,2,1,0,0,0,1,0,V1 (CAS1) TRAV S ON MULLER RD IN R/TURN FILTER LANE AT J/WITH RALPH RD.  V2 TRAV NE ON RALPH RD AT J/WITH MULLER RD. V2 HAS MADE A R/TURN AND C/WITH V1 AT SLOW SPEED.,359905,176062,CARS
279,171701816,2017/03/04 00:00:00+00,1215,3,Slight,C,Child pedestrian,1,1,1,0,0,1,0,"V1 TRAV W ON BISHPORT AV, CAS1 (CHILD RIDING SCOOTER) HAS ENTERED C/WAY. V1 HAS SWERVED TO AVOID COLLISION BUT HAS C/WITH CAS1.",357345,167556,C
280,171701833,2017/03/06 00:00:00+00,1520,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,V1 TARV NE ON LEWINS MEAD. CAS1 HAS RAN OUT INTO THE C/WAY FROM THE PAVEMENT AND BEEN STRUCK BY PASSING V1. BOTH PARTIES HAVE STOPPED BUT CAS1 HAS BECOME ABUSIVE BEFORE LEAVING THE SCENE.,358884,173379,A
281,171701834,2017/02/16 00:00:00+00,910,3,Slight,J1,Turning Movement from major road,2,1,0,0,1,0,0,V1 TRAV SW ON FISHPONDS RD AT J/WITH BEECHWOOD RD. V2 (CAS1) (MYCYLE) TRAV SW ON FISHPONDS RD. V2 HAS UNDERTAKEN V1 AS IT HAS MADE A L/TURN INTO BEECHWOOD RD. V2 HAS C/WITH TURNING V1. R2 HAS BECOME UNSEATED.,363392,175907,MCYC
282,171701836,2017/03/11 00:00:00+00,135,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,V1 (POLICE VEHICLE) TRAV SW ON COLLEGE GREEN. CAS1 HAS STEPPED OUT INTO THE C/WAY AND C/WITH PASSING V1. BOTH PARTIES HAVE STOPPED. CAS1 HAS REFUSED MEDICAL TREATMENT,358536,172782,A
283,171701843,2017/03/14 00:00:00+00,1745,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,0,0,0,0,V1 (CAS1) TRAV NW ON ST PAUL'S R-A-B IN MIDDLE LANE. V2 TRAV NW ON ST PAUL'S R-A-B IN INSIDE LANE. V1 CHANGED LANES TO THE LEFT AND C/WITH V2.,360076,174228,CARS
284,171701847,2017/02/11 00:00:00+00,1737,3,Slight,J2,Turning Movement from minor road,2,1,0,0,1,0,0,V1 TRAV S ON EDWARD ST AT J/WITH CHURCH RD. V2 (CAS1) (MCYCLE) TRAV NE ON CHURCH RD AT J/WITH EDWARD ST. V1 HAS MADE A R/TURN AND C/WITH PASSING V2.,361295,173438,MCYC
285,171701855,2017/02/25 00:00:00+00,1821,3,Slight,J1,Turning Movement from major road,2,2,0,0,0,0,0,V1 (CAS1) TRAV NW ON BATH RD AT J/WITH CHURCH HILL. V1 HAS BEEN IN FILTER LANE TO MAKE A R/TURN ACROSS TWO LANES OF FLOWING TRAFFIC . V2 (CAS2) TRAV SE ON BATH RD. V1 HAS MADE A R/TURN ACROSS THE FIRST LANE OF TRAFFIC AND C/WITH V2 WHICH WAS IN THE S,361988,170705,CARS
286,171701862,2017/03/02 00:00:00+00,1545,3,Slight,C,Child pedestrian,1,1,1,0,0,1,0,V1 TRAV NE ON THICKET AV. CAS1 (CHILD LEAVING SCHOOL BUS) CAS1 HAS RAN INTO THE C/WAY AND BEEN STRUCK BY PASSING V1. CAS1 HAS GOT UP AND MOVED ONTO A GRASS VERGE.,364075,175235,C
287,171701905,2017/02/25 00:00:00+00,1845,3,Slight,J1,Turning Movement from major road,2,1,0,0,1,0,0,V1 (CAS1) (MCYCLE) TRAV W ON CHURCH RD AT J/WITH MORTON ST. V2 TRAV BEHIND ON CHURCH RD. V2 HAS O/TAKEN V1 AND MADE A L/TURN INTO MORTON ST. V1 HAS C/WITH TURNING V2. V2 FAILEDTO STOP,360912,173361,MCYC
288,171701916,2017/02/28 00:00:00+00,1255,3,Slight,LC,Loss of Control,2,1,0,0,0,0,0,V1(CAS1) TRAV SE ON KINGS WESTON RD. V2 TRAV NW ON KINGS WESTON RD. D2 HAS BEEN DISTRACTED BY YOUNG CHILD IN REAR OPENING REAR DOOR. D2 HAS SWERVED ONTO OPPOSITE SIDE OF THE C/WAY AND COLLIDED HEAD ON WITH ONCOMING V1.,354519,177220,CARS
289,171701932,2017/03/02 00:00:00+00,1025,2,Serious,NONE,Other,2,1,0,1,0,0,0,V1 MOVING INTO KERBSIDE PARKING SPACE ON GLOUCESTER RD. V2 (CAS1) (CYCLE) TRAV N ON GLOUCESTER RD. V2 HAS C/WITH THE REAR OF PARKING V1.,359035,175287,CYC
290,171701960,2017/03/07 00:00:00+00,2032,3,Slight,J1,Turning Movement from major road,2,1,0,1,0,0,0,V1 TRAV SW ON STAPLETON RD AT J/WITH ARMOURY SQ. V2 (CYCLE) TRAV NE ON STAPLETON RD. V1 HAS MADE A R/TURN AND C/WITH PASSING V2. R2 HAS BECOME UNSEATED.,360324,173815,CYC
291,171701636,2017/03/09 00:00:00+00,1620,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,CAS1 (WALKING IN ROAD). V1 TRAV E ON WHITEHALL RD AT J/WITH VICARAGE RD. V1 HAS C/WITH CAS1. V1 HAS LEFT THE SCENE FAILING TO STOP,361141,173797,A
292,171701675,2017/03/08 00:00:00+00,2046,3,Slight,NT,Nose to Tail,2,2,0,0,0,0,0,"V1 (CAS1 CAS2) TRAV E ON WEST TOWN LN AT J/WITH BRISLINGTON HILL, V1 HAS BECOME STATIC AT RED ATL. V2 TARV BEHIND HAS C/WITH THE REAR OF V1. V2 HAS FLED THE SCENE FAILING TO STOP.",362152,170453,CARS
293,171701839,2017/03/16 00:00:00+00,1100,3,Slight,O,Overtaking,2,1,0,0,0,0,0,"V1 (CAS1) (RIDDEN HORSE) TRAV W ON MOORHOUSE LN, HORSE IN FRONT HAS BEEN LEADING A YOUNG HORSE BEHIND. V2 HAS APPROACHED FROM BEHIND, V2 HAS O/TAKEN V1 AND CLIPPED V1 WITH WING MIRROR. V2 (HORSE) HAS SUSTAINED INJURY) V2 HAS FAILED TO STOP",354441,179898,CARS
294,171701970,2017/03/11 00:00:00+00,500,3,Slight,NT,Nose to Tail,2,1,0,1,0,1,0,V2 (CAS1) (CYCLE) TRAV W ON WHITEHALL RD. V1 (DRIVER INTOXICATED) HAS APPROACHED FROM BEHIND AND C/WITH THE REAR OF V2. R2 HAS BECOME UNSEATED.,361549,173795,CYC
295,171701972,2017/03/09 00:00:00+00,1635,3,Slight,J1,Turning Movement from major road,2,1,0,1,0,0,0,"V1 TRAV S ON GLOUCESTER ROAD JUNCTION WITH ELTON ROAD, V1 HAS MADE A R/TURN INTO ELTON RD. V2 (CAS1) (CYCLE) TRAV NE ON ZETLAND RD, V2 HAS IGNORED A REDD ATL AND C/WITH TURNING V2.",358857,174780,CYC
296,171701973,2017/02/22 00:00:00+00,2223,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,V1 EMERGENCY RESPONSE VEHICLE TRAV SE ON VICTORIA ST.  AND MADE A R/TURN INTO ST THOMAS STREET EAST. V1 HAS C/WITH CROSSING CAS1. CAS1 HAS BEEN KNOCKED TO THE GROUND.,359218,172763,A
297,171701981,2017/03/03 00:00:00+00,1430,3,Slight,J2,Turning Movement from minor road,2,1,0,0,0,0,0,V1 TRAV SE ON  SOUTHDOWN RD AT J/WITH FALCONDALE RD. V2 (CAS1) TRAV NE ON FALCONDALE RD AT J/ WITH SOUTHDOWN RD.  V1 HAS MADE A R/TURN AND C/WITH PASSING V2.,356984,177651,CARS
298,171701988,2017/03/04 00:00:00+00,1820,3,Slight,J2,Turning Movement from minor road,2,1,0,0,1,0,0,V1 TRAV S ON ARDENTON WK AT J/WITH KNOLE LN. V2 (CAS1) (MCYCLE) TRAV E ON KNOLE LN. V1 HAS MADE A R/TURN AND C/WITH PASSING V2.,357269,179196,MCYC
299,171702003,2017/03/05 00:00:00+00,1012,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,1,0,0,0,V1 (CAS1) (CYCLE) TRAV N ON WOOTTON RD AT SPEED. V2 HAS PULLED OUT OF A PARKING SPACE AND C/WITH PASSING V1. R1 HAS BECOME UNSEATED.,362685,172525,CYC
300,171702005,2017/03/06 00:00:00+00,1720,3,Slight,J1,Turning Movement from major road,2,1,0,0,1,0,0,V1 (CAS1) (MCYCLE) TRAV SE ON WELLS RD AT J/WITH MARSTON RD. V2 TRAV NW ON WELLS RD AT J/WITH MARSTON RD. V2 HAS MADE A R/TURN INTO MARSTON RD AND C/WITH PASSING V1. R1 HAS BECOME UNSEATED,360598,170917,MCYC
301,171702016,2017/03/07 00:00:00+00,1320,3,Slight,NT,Nose to Tail,2,1,0,0,0,0,0,V2 (CAS1)  TRAV NE ON WHITBY RD AT J/WITH UNICORN BUSINESS PK.V2 HAS COME TO A FULL STOP TO MAKE A R/TURN. V1 TRAV BEHIND HAS C/WITH THE REAR OF STATIONERY V2.,361441,172478,CARS
302,171702042,2017/02/18 00:00:00+00,1115,3,Slight,E,Elderly pedestrian,1,1,1,0,0,0,1,V1 TRAV SW ON FISHPONDS RD AT J/WITH MANOR RD. V1 FOLLOWING L/HAND BEND.  CAS1 HAS STEPPED ONTO A PEDESTRIAN CROSSING AND BEEN STRUCK BY PASSING V1.,363444,175966,E
303,171702060,2017/03/17 00:00:00+00,954,2,Serious,LC,Loss of Control,3,2,0,0,0,0,1,V1 (CAS1) TRAV N CHURCH RD. V2 HAS APPROACHED V1 FROM BEHIND AT SPEED. V2 HAS ATTEMPTED TO O/TAKE V1 AND C/WITH THE REAR. V2 HAS SWERVED ONTO OPPOSITE SIDE OF THE C/WAY AND COLLIDED HEAD ON WITH V3 (CAS2),357160,168971,CARS
304,171702062,2017/03/09 00:00:00+00,1535,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,1,0,1,0,"V1 (CAS1) TRAV NE ON CLARENCE RD AT J/WITH BATH BRIDGE R/ABOUT, V1 HAS JOINED BATH BRIDGE R/ABOUT. V2 HAS CHANGED LANES TO THE LEFT AND C/WITH PASSING V1. V2 HAS STOPPED MOMENTARILY BEFORE LEAVING THE SCENE.",359597,172226,CYC
305,171702064,2017/03/07 00:00:00+00,800,3,Slight,J1,Turning Movement from major road,2,1,0,1,0,0,0,V2 (CAS1) (CYCLE) TRAV NW ON BATH RD AT J/WITH A370 YORK RD. V1 TRAV NE ON YORK RD AT J/WITH BATH RD. V1 HAS CROSSED JUNCTION AND C/WITH PASSING V2. R2 HAS BECOME UNSEATED.,359635,172167,CYC
306,171702080,2017/03/17 00:00:00+00,1250,3,Slight,NT,Nose to Tail,2,1,0,0,0,0,0,"V1 (CAS1) TRAV SE ON SALCOMBE RD AT J/WITH AIRPORT RD, V1 HAS COME TO A FULL STOP AT RED ATL. V2 TRAV BEHIND HAS C/WITH THE REAR OF STATIC V1. V2 HAS MADE OFF FAILING TO STOP, V2 HAS RETURNED TO THE SCENE A SHORT WHILE LATER.",360204,169699,CARS
307,171702088,2017/03/05 00:00:00+00,354,3,Slight,LC,Loss of Control,7,1,0,0,0,0,0,"V1 (CAS1) (DRIVER INTOXICATED) TRAV SE ON KINGSWAY AV, V1 HAS C/WITH PARKED AND UNATTENDED V2 WHICH HAS SHUNTED FORWARD INTO PARKED AND UNATTENDED V3. V1 HAS CONTINUED ON KINGSWAY AV BEFORE C/WITH PARKED AND UNATTENDED V4 AND V5. V5 HAS BEEN SHUNTED",363881,173489,CARS
308,171702103,2017/03/13 00:00:00+00,1442,3,Slight,C,Child pedestrian,1,1,1,0,0,1,0,"CAS1 CROSSING EASTON WAY ON DESIGNATED CROSSING THAT HAD FAULTY LIGHTS. V1 TRAV N ON EASTON WAY. V1 HAS C/WITH CROSSING CAS1, V1 HAS FAILED TO STOP AND FLED SCENE. POLICE WERE WITNESS TO THE COLLISION. CCTV CAPTURED THE COLLISION . CF ADDED FOR VALID",360447,173843,C
309,171702144,2017/03/11 00:00:00+00,2153,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,V1 TRAV W ON BOND ST. CAS1 HAS STEPPED ONTO PEDESTRIAN CROSSING AND BEEN STRUCK BY PASSING V1. CAS1 HAS BEEN KNOCKED TO THE GROUND AND SUSTAINED INJURY. CAS1 HAS BEEN TREATED AT THE SCENE BY AMBULANCE,359311,173534,A
310,171704278,2017/06/25 23:00:00+00,635,3,Slight,O,Overtaking,1,1,1,0,0,0,0,WASTE DISPOSAL VEHICLE PARKED AT KERB COLLECTING BLACK BINS. V1 HAS O/TAKEN STATIC VEHICLES AND C/WITH CAS1 WASTE WORKED WHO HAS STEPPED OUT INTO THE C/WAY. CAS1 HAS BEEN KNOCKED TO THE GROUND AND TREATED ON SCENE BY ATTENDING AMBULANCE CREW.,360309,175929,CARS
311,171704342,2017/04/22 23:00:00+00,1720,3,Slight,LC,Loss of Control,2,1,0,0,0,0,1,V1 (CAS1) (PARKED IN LAYBY) OUTSIDE KINGSWAY PRECINCT. V2 HAS MOVED FORWARD AND C/WITH V1.,363589,172979,CARS
312,171704417,2017/07/03 23:00:00+00,1400,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,1,0,0,1,"V1 (CAS1) (CYCLE) TRAV SW ON FILTON AV AT J/WITH CROPTHORNE RD SOUTH. V2 HAS PULLED OUT OF PARKING SPACE ON OPPOSITE SIDE OF C/WAY WITH INTENTION OF TRAVELING SW. V2 HAS C/WITH PASSING V1. R1 HAS BECOME UNSEATED, V2 HAS FAILED TO STOP.",360093,177212,CYC
313,171704502,2017/07/03 23:00:00+00,1830,3,Slight,J1,Turning Movement from major road,2,1,0,1,0,0,0,V1 (CAS1) (CYCLE) TRAV SW ON FILTON RD AT J/WITH CAIN RD. V2 TRAV NE ON FILTON RD AT J/WITH CAIN RD. V2 HAS MADE A R/TURN INTO CAIN RD AND C/WITH PASSING V1. R1 HAS BECOME UNSEATED.,359691,177473,CYC
314,171704601,2017/06/08 23:00:00+00,1610,3,Slight,LC,Loss of Control,2,1,1,0,0,0,0,V2 TRAV S (FOLLOWING R/HAND BEND) ON ROSEMARY LN. V2 HAS BEEN TRAVELING TOO FAST AND C/WITH PARKED V1. OWNER OF V1 (CAS1) HAS BEEN INJURED DURING THE COLLISION.,361265,174754,CARS
315,171704616,2017/05/14 23:00:00+00,1520,3,Slight,LC,Loss of Control,2,2,0,0,0,0,0,V1 (CAS1) TARV E ON PARK HILL NEGOTIATING SLIGHT BEND. V2 (CAS2) TRAV W ON PARK HILL. D1 HAS LOST CONTROL AND SWERVED ONTO THE OPPOSITE SIDE OF THE C/WAY AND COLLIDED HEAD ON WITH V2.,353461,176894,CARS
316,171704686,2017/06/13 23:00:00+00,1727,3,Slight,NT,Nose to Tail,2,1,0,0,1,0,0,"V1 (MCYCLE) (CAS1) TRAV NW ON WINTERSTOKE RD. V2 HAS APPROACHED FROM BEHIND AND C/WITH THE REAR OF V1. R1 HAS BECOME UNSEATED, V2 HAS FLED THE SCENE FAILING TO STOP",356963,171032,MCYC
317,171704733,2017/05/17 23:00:00+00,1430,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,V1 TRAV NE ON LONG CROSS AT J/WITH LAWRENCE WESTON RD. CAS1 HAS RAN OUT INTO THE C/WAY AND BEEN STRUCK BY PASSING V1. CAS1 HAS STEPPED OUT INTO THE C/WAY FROM BEHIND A PARKED BUS.,354614,178655,A
318,171704218,2017/06/25 23:00:00+00,1345,3,Slight,A,Adult pedestrian,2,1,0,0,0,0,0,"V1 (CAS1) (PARKED AT KERB) ON HILL AVENUE. D1 (CAS1) WAS ASSISTING CHILDREN TO LEAVE THE BACK OF V1. V2 TRAV SW ON HILL AVENUE. THE WING-MIRROR OF V2 AND CLIPPED CAS1.  EXACT LOCATION UNKNOWN, POOR ACCIDENT DESCRIPTION",359492,171310,A
319,171704245,2017/06/25 23:00:00+00,1605,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,1,0,0,0,"V2 (CAS1) (CYCLE) TRAV NE ON GLOUCESTER ROAD. V1 HAS PULLED OUT OF A PARKED POSITION TO CONDUCT A U/TURN. V1 HAS C/WITH PASSING V2. R2 HAS BECOME UNSEATED, DETAILS PARTLY EXCHANGED.",358926,174882,CYC
320,171704251,2017/06/25 23:00:00+00,1955,3,Slight,J1,Turning Movement from major road,2,1,0,1,0,0,0,V1 (CAS1) (CYCLE) TRAV SW ON DEAN LN AT J/WITH CATHERINE MEAD ST. V2 TRAV NE ON DEAN LN AT J/WITH CATHERINE MEAD ST. V2 HAS MADE A R/TURN INTO CATHERINE MEAD ST AND C/WITH PASSING V1.,358406,171702,CYC
321,171704399,2017/07/02 23:00:00+00,845,3,Slight,J1,Turning Movement from major road,2,1,0,0,1,0,0,"V1 (CAS1) (MCYCLE) TRAV SW ON CLARENCE RD IN BSLN. V2 TRAV SW ON CLARENCE RD IN OUTSIDE LANE. V2 HAS MERGED LEFT AND FORCED V1 TO TAKE EVASIVE ACTION , V1 HAS HIT THE KERB, D1 HAS BECOME UNSEATED. NOT CLEAR IF THERE WAS CONTACT BETWEEN V1 AND V2.",360094,173353,MCYC
